domain,question,answer
tourism,Best place to see mountain gorillas?,Volcanoes National Park in Musanze offers gorilla trekking.
tourism,Can you tell me best place to see mountain gorillas?,Volcanoes National Park in Musanze offers gorilla trekking. (2025 info)
tourism,What's special about Nyungwe Forest in Rwanda?,Home to chimpanzees and East Africa's only canopy walk (160m long).
tourism,What's special about Nyungwe Forest?,Home to chimpanzees and East Africa's only canopy walk (160m long). Details: Home to chimpanzees and East Africa's only canopy walk (160m long).
tourism,Can I do a safari in Rwanda?,"Yes, Akagera National Park has lions, elephants and 500+ bird species."
tourism,Can I do a safari in Rwanda in Rwanda?,"Yes, Akagera National Park has lions, elephants and 500+ bird species."
tourism,Top cultural village to visit?,Iby'Iwacu Cultural Village near Volcanoes NP shows traditional Rwandan life. Details: Iby'Iwacu Cultural Village near Volcanoes NP shows traditional Rwandan life.
tourism,Where would I find top cultural village to visit?,"In Rwanda, iby'iwacu cultural village near volcanoes np shows traditional rwandan life."
tourism,Where to see traditional Intore dance in Rwanda?,At the Kandt House Museum in Kigali or during festivals. Details: At the Kandt House Museum in Kigali or during festivals.
tourism,Can you tell me where to see traditional intore dance?,At the Kandt House Museum in Kigali or during festivals. (2025 info)
tourism,Can you tell me best time to visit rwanda?,June-September (dry season) for gorilla trekking and hiking.
tourism,Where would I find best time to visit rwanda?,June-September (dry season) for gorilla trekking and hiking.
tourism,Can you tell me entry fee for volcanoes national park?,"In Rwanda, $100 for foreigners, 15,000 rwf for rwandans (2025 rates)."
tourism,Where would I find entry fee for volcanoes national park?,"$100 for foreigners, 15,000 RWF for Rwandans (2025 rates)."
tourism,How long is gorilla trekking?,"In Rwanda, 2-8 hours depending on gorilla family location."
tourism,Can you tell me how long is gorilla trekking?,2-8 hours depending on gorilla family location. (2025 info)
tourism,Can kids do gorilla trekking?,Minimum age is 15 for gorilla permits.
tourism,What to pack for Nyungwe canopy walk in Rwanda?,"Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
tourism,Can you tell me what to pack for nyungwe canopy walk?,"Sturdy shoes, rain jacket, and camera - it's 70m above ground!. Details: Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
tourism,Can you tell me where to see golden monkeys?,Also in Volcanoes National Park - cheaper than gorilla permits. (2025 info)
tourism,Can you tell me best hiking trail near kigali?,Mount Kigali Trail offers great city views (2-3 hour hike).
tourism,Best hiking trail near Kigali?,Mount Kigali Trail offers great city views (2-3 hour hike). (2025 info)
education,Where would I find top university in rwanda?,University of Rwanda is the largest and highest-ranked. Details: University of Rwanda is the largest and highest-ranked.
education,Top university in Rwanda in Kigali?,"In Rwanda, university of rwanda is the largest and highest-ranked."
education,Where to study computer science in Rwanda?,University of Rwanda's College of Science and Technology in Nyarugenge.
education,Where would I find where to study computer science?,"In Rwanda, university of rwanda's college of science and technology in nyarugenge."
education,Best coding bootcamp in Rwanda?,"In Rwanda, alx rwanda offers 12-month software engineering programs."
education,Where would I find best coding bootcamp?,ALX Rwanda offers 12-month software engineering programs. Details: ALX Rwanda offers 12-month software engineering programs.
education,Where would I find international schools in kigali?,"Green Hills Academy, Kigali International Community School, and École Belge. (2025 info)"
education,International schools in Kigali in Kigali?,"Green Hills Academy, Kigali International Community School, and École Belge. (2025 info)"
education,Can you tell me is education free in rwanda?,Primary education is free in public schools. Details: Primary education is free in public schools.
education,Where would I find is education free in rwanda?,"In Rwanda, primary education is free in public schools."
education,Where to learn Kinyarwanda in Rwanda?,University of Rwanda's Language Centre offers courses. Details: University of Rwanda's Language Centre offers courses.
education,Where to learn Kinyarwanda?,University of Rwanda's Language Centre offers courses.
education,Technical schools in Rwanda in Rwanda?,IPRCs (Integrated Polytechnic Regional Colleges) across the country. Details: IPRCs (Integrated Polytechnic Regional Colleges) across the country.
education,Technical schools in Rwanda?,IPRCs (Integrated Polytechnic Regional Colleges) across the country. Details: IPRCs (Integrated Polytechnic Regional Colleges) across the country.
education,Where would I find scholarships for rwandan students?,"In Rwanda, mastercard foundation scholars program at ur and kepler."
education,Scholarships for Rwandan students?,Mastercard Foundation Scholars Program at UR and Kepler.
education,Can you tell me best medical school?,"In Rwanda, university of rwanda's college of medicine and health sciences."
education,Where would I find where to study hospitality?,Akilah Institute for Women offers diploma programs.
education,Can you tell me where to study hospitality?,Akilah Institute for Women offers diploma programs. (2025 info)
education,Public vs private universities?,"In Rwanda, ur is public; auca, cmu are private options."
education,STEM programs for girls in Kigali?,Girls in ICT initiative by RDB and Andela Rwanda.
education,Can you tell me stem programs for girls?,Girls in ICT initiative by RDB and Andela Rwanda. Details: Girls in ICT initiative by RDB and Andela Rwanda.
healthcare,Best hospital in Kigali?,"In Rwanda, king faisal hospital is the top private facility."
healthcare,Best hospital in Kigali in Kigali?,King Faisal Hospital is the top private facility.
healthcare,Public hospitals in Rwanda?,CHUK (Central Hospital Kigali) and district hospitals.
healthcare,Where would I find public hospitals in rwanda?,CHUK (Central Hospital Kigali) and district hospitals.
healthcare,Emergency number?,"Dial 112 for police, 912 for medical emergencies. (2025 info)"
healthcare,Where would I find emergency number?,"Dial 112 for police, 912 for medical emergencies. (2025 info)"
healthcare,Where would I find where to get covid vaccine?,All district hospitals and health centers. (2025 info)
healthcare,Where to get COVID vaccine?,"In Rwanda, all district hospitals and health centers."
healthcare,Can you tell me malaria risk in rwanda?,"Present - use prophylaxis and mosquito nets, especially in rural areas. Details: Present - use prophylaxis and mosquito nets, especially in rural areas."
healthcare,Where would I find malaria risk in rwanda?,"Present - use prophylaxis and mosquito nets, especially in rural areas."
healthcare,24-hour pharmacy in Kigali in Rwanda?,King Faisal Hospital pharmacy operates 24/7.
healthcare,24-hour pharmacy in Kigali?,King Faisal Hospital pharmacy operates 24/7. (2025 info)
healthcare,Dental clinics in Kigali?,Kigali Dental Clinic in Kimihurura is recommended.
healthcare,Mental health services?,"In Rwanda, ndera neuropsychiatric hospital specializes in mental health."
healthcare,Mental health services in Rwanda?,"In Rwanda, ndera neuropsychiatric hospital specializes in mental health."
healthcare,Where would I find pediatric hospitals?,KFH and CHUK both have pediatric wings. (2025 info)
healthcare,Pediatric hospitals?,KFH and CHUK both have pediatric wings. Details: KFH and CHUK both have pediatric wings.
healthcare,Where would I find health insurance requirements?,Mandatory for foreigners - RAMA or private insurance. Details: Mandatory for foreigners - RAMA or private insurance.
healthcare,Health insurance requirements?,Mandatory for foreigners - RAMA or private insurance.
healthcare,Where would I find vaccinations needed?,"In Rwanda, yellow fever mandatory; hepatitis a/b, typhoid recommended."
healthcare,Where to buy prescription drugs?,Pharmacies like KIM Pharmacy require doctor's prescription.
healthcare,Where would I find where to buy prescription drugs?,"In Rwanda, pharmacies like kim pharmacy require doctor's prescription."
accommodation,Budget hostels in Kigali in Rwanda?,Discover Rwanda Youth Hostel from $10/night. (2025 info)
accommodation,Where would I find budget hostels in kigali?,Discover Rwanda Youth Hostel from $10/night. (2025 info)
accommodation,Luxury hotels in Kigali in Kigali?,"In Rwanda, kigali marriott ($200+) and serena hotel ($150+)."
accommodation,Best area to stay in Kigali?,"Kimihurura for restaurants, Kiyovu for quiet luxury."
accommodation,Eco-lodges near Volcanoes NP in Rwanda?,Bisate Lodge (luxury) or Red Rocks Rwanda (budget). Details: Bisate Lodge (luxury) or Red Rocks Rwanda (budget).
accommodation,Where would I find eco-lodges near volcanoes np?,Bisate Lodge (luxury) or Red Rocks Rwanda (budget). (2025 info)
accommodation,Lake Kivu resorts?,Lake Kivu Serena Hotel in Rubavu has lake views. (2025 info)
accommodation,Where would I find airbnb availability?,"In Rwanda, yes, 300+ listings in kigali from $20/night."
accommodation,Can you tell me camping in akagera?,"Yes, Ruzizi Tented Lodge and campsites inside park. (2025 info)"
accommodation,Camping in Akagera?,"In Rwanda, yes, ruzizi tented lodge and campsites inside park."
accommodation,Hostels near bus stations?,Okapi Hotel is 5min from Nyabugogo Bus Park. Details: Okapi Hotel is 5min from Nyabugogo Bus Park.
accommodation,Pet-friendly hotels?,Kigali Marriott allows pets with prior notice. (2025 info)
accommodation,Hotels with pools?,Radisson Blu and Serena both have outdoor pools. (2025 info)
accommodation,Can you tell me long-term apartment rentals?,"In Rwanda, check kigali heights or kbc area for 1-3 month leases."
accommodation,Where would I find guesthouses in musanze?,Fatima Guesthouse and La Palme Hotel are popular. (2025 info)
accommodation,Can you tell me guesthouses in musanze?,Fatima Guesthouse and La Palme Hotel are popular. Details: Fatima Guesthouse and La Palme Hotel are popular.
transport,Bus from Kigali to Musanze?,Volcano Express takes 2.5hrs (~3000 RWF).
transport,How to use Tap&Go?,"In Rwanda, buy card at stations, load money for bus fares."
transport,Can you tell me how to use tap&go?,"Buy card at stations, load money for bus fares."
transport,Can you tell me moto-taxi safety tips?,"In Rwanda, always wear helmet, agree on fare first (~500-2000 rwf)."
transport,Where would I find moto-taxi safety tips?,"In Rwanda, always wear helmet, agree on fare first (~500-2000 rwf)."
transport,Car rental companies?,"In Rwanda, europcar, avis and local companies like rwanda car rentals."
transport,Kigali airport to city?,"Taxi costs ~10,000 RWF (20min), no Uber available."
transport,Speed limits in Rwanda in Kigali?,"In Rwanda, 50km/h cities, 80km/h highways, strictly enforced."
transport,Can you tell me speed limits in rwanda?,"50km/h cities, 80km/h highways, strictly enforced. Details: 50km/h cities, 80km/h highways, strictly enforced."
transport,Cross-border buses?,"Jaguar Coaches to Kampala, Trinity to Bujumbura."
transport,Where would I find cross-border buses?,"In Rwanda, jaguar coaches to kampala, trinity to bujumbura."
transport,Domestic flights?,"In Rwanda, akol aviation flies kigali-kamembe (lake kivu)."
transport,Can you tell me domestic flights?,Akol Aviation flies Kigali-Kamembe (Lake Kivu). (2025 info)
transport,Where would I find bicycle rentals?,Available in Nyamirambo and near Kimironko Market. Details: Available in Nyamirambo and near Kimironko Market.
transport,Bicycle rentals?,Available in Nyamirambo and near Kimironko Market.
transport,Night buses in Rwanda?,No intercity buses operate after 8pm typically.
transport,Night buses in Kigali?,No intercity buses operate after 8pm typically. Details: No intercity buses operate after 8pm typically.
transport,Parking in Kigali?,"In Rwanda, malls (kigali heights, union trade centre) have secure parking."
transport,Fuel prices in Rwanda?,"~1,300 RWF/liter for petrol (2025 rates)."
transport,Where would I find fuel prices?,"~1,300 RWF/liter for petrol (2025 rates). (2025 info)"
business,Where to register a company in Rwanda?,Rwanda Development Board (RDB) One Stop Center. (2025 info)
business,Where to register a company?,Rwanda Development Board (RDB) One Stop Center. (2025 info)
business,Can you tell me top industries in rwanda?,"ICT, tourism, agriculture and manufacturing. Details: ICT, tourism, agriculture and manufacturing."
business,Top industries in Rwanda?,"In Rwanda, ict, tourism, agriculture and manufacturing."
business,Co-working spaces?,Norrsken House Kigali and The Office. Details: Norrsken House Kigali and The Office.
business,Where would I find co-working spaces?,Norrsken House Kigali and The Office. (2025 info)
business,Where would I find business license cost?,"In Rwanda, depends on sector - from 50,000 rwf for small business."
business,Business license cost in Kigali?,"Depends on sector - from 50,000 RWF for small business. (2025 info)"
business,Mobile money usage in Rwanda?,90% penetration - MTN MoMo and Airtel Money dominate. Details: 90% penetration - MTN MoMo and Airtel Money dominate.
business,Can you tell me mobile money usage?,90% penetration - MTN MoMo and Airtel Money dominate.
business,Can you tell me major banks?,"Bank of Kigali, Equity Bank, and Access Bank. Details: Bank of Kigali, Equity Bank, and Access Bank."
business,Can you tell me import taxes?,Varies by product - check RRA (Rwanda Revenue Authority). (2025 info)
business,Where would I find top local companies?,"In Rwanda, mtn rwanda, bralirwa, and crystal ventures ltd."
business,Can you tell me top local companies?,"MTN Rwanda, Bralirwa, and Crystal Ventures Ltd. Details: MTN Rwanda, Bralirwa, and Crystal Ventures Ltd."
business,Business incubators?,kLab and Impact Hub Kigali support startups. Details: kLab and Impact Hub Kigali support startups.
business,Where would I find e-commerce platforms?,Jumia Rwanda and Kasha are most popular.
business,E-commerce platforms?,"In Rwanda, jumia rwanda and kasha are most popular."
business,Stock exchange?,"In Rwanda, rwanda stock exchange has 10+ listed companies."
business,Can you tell me stock exchange?,Rwanda Stock Exchange has 10+ listed companies.
business,Can you tell me corporate tax rate?,"In Rwanda, 30% for large companies, 0-20% for small businesses."
business,Where would I find corporate tax rate?,"In Rwanda, 30% for large companies, 0-20% for small businesses."
history,Can you tell me pre-colonial kingdoms?,Kingdom of Rwanda ruled from 15th century to 1961. (2025 info)
history,Where would I find pre-colonial kingdoms?,Kingdom of Rwanda ruled from 15th century to 1961. Details: Kingdom of Rwanda ruled from 15th century to 1961.
history,1994 Genocide memorials?,"In Rwanda, kigali genocide memorial is main site (gisozi)."
history,First president in Kigali?,Grégoire Kayibanda (1962-1973). Details: Grégoire Kayibanda (1962-1973).
history,Can you tell me first president?,Grégoire Kayibanda (1962-1973). Details: Grégoire Kayibanda (1962-1973).
history,Where would I find traditional courts?,Gacaca courts tried genocide cases 2001-2012. (2025 info)
history,Ancient Rwandan currency?,"In Rwanda, used barter system; later cowrie shells and hoes."
history,Can you tell me ancient rwandan currency?,Used barter system; later cowrie shells and hoes.
history,Can you tell me colonial periods?,German (1897-1916) then Belgian rule until 1962 independence. (2025 info)
history,Colonial periods in Rwanda?,German (1897-1916) then Belgian rule until 1962 independence.
history,Royal palace location in Rwanda?,Nyanza was historic seat of Rwandan kings. Details: Nyanza was historic seat of Rwandan kings.
history,Royal palace location?,Nyanza was historic seat of Rwandan kings. Details: Nyanza was historic seat of Rwandan kings.
history,Umuganura festival in Kigali?,Traditional harvest festival celebrated August 1st. Details: Traditional harvest festival celebrated August 1st.
history,Where would I find umuganura festival?,Traditional harvest festival celebrated August 1st. (2025 info)
history,Rwandan Patriotic Front?,Political party that ended genocide in 1994.
history,Rwandan Patriotic Front in Kigali?,Political party that ended genocide in 1994. (2025 info)
history,Where would I find oldest building?,Kandt House Museum (1907) in Kigali.
history,Oldest building?,Kandt House Museum (1907) in Kigali.
history,Traditional kingdoms in Kigali?,Rwanda and neighboring Burundi were linked kingdoms. Details: Rwanda and neighboring Burundi were linked kingdoms.
history,Can you tell me traditional kingdoms?,Rwanda and neighboring Burundi were linked kingdoms. Details: Rwanda and neighboring Burundi were linked kingdoms.
history,Where would I find independence date?,"July 1, 1962 from Belgium. Details: July 1, 1962 from Belgium."
sports,National stadium in Kigali?,"In Rwanda, amahoro stadium hosts football matches (25,000 capacity)."
sports,Where would I find national stadium?,"Amahoro Stadium hosts football matches (25,000 capacity). (2025 info)"
sports,Where would I find rwanda premier league teams?,"APR FC, Rayon Sports and Kiyovu SC are top clubs."
sports,Can you tell me rwanda premier league teams?,"APR FC, Rayon Sports and Kiyovu SC are top clubs. (2025 info)"
sports,Can you tell me golf courses?,"In Rwanda, kigali golf club (18 holes) and gorilla golf club in musanze."
sports,Golf courses?,Kigali Golf Club (18 holes) and Gorilla Golf Club in Musanze. (2025 info)
sports,Cycling routes in Rwanda?,Kigali to Musanze (90km) is popular challenge route. Details: Kigali to Musanze (90km) is popular challenge route.
sports,Cycling routes?,Kigali to Musanze (90km) is popular challenge route. (2025 info)
sports,Where would I find basketball teams?,Patriots BBC represents Rwanda in FIBA Africa. Details: Patriots BBC represents Rwanda in FIBA Africa.
sports,Volcano hiking in Rwanda?,"Mount Bisoke (3,711m) is 3-5 hour hike from base. Details: Mount Bisoke (3,711m) is 3-5 hour hike from base."
sports,Volcano hiking?,"Mount Bisoke (3,711m) is 3-5 hour hike from base. Details: Mount Bisoke (3,711m) is 3-5 hour hike from base."
sports,Running clubs?,"In Rwanda, kigali running club meets saturdays at 6am in kimihurura."
sports,Where would I find running clubs?,Kigali Running Club meets Saturdays at 6am in Kimihurura. Details: Kigali Running Club meets Saturdays at 6am in Kimihurura.
sports,Swimming pools?,Kigali Serena and Cercle Sportif have public pools. Details: Kigali Serena and Cercle Sportif have public pools.
sports,Can you tell me swimming pools?,Kigali Serena and Cercle Sportif have public pools. Details: Kigali Serena and Cercle Sportif have public pools.
sports,Traditional sports?,High jump (gusimbuka) was historic royal sport. Details: High jump (gusimbuka) was historic royal sport.
sports,Where would I find traditional sports?,High jump (gusimbuka) was historic royal sport. (2025 info)
sports,Marathons in Kigali?,Kigali International Peace Marathon every May.
sports,Marathons?,Kigali International Peace Marathon every May.
sports,Where would I find football academies?,APR FC Academy trains youth players. (2025 info)
sports,Football academies in Kigali?,APR FC Academy trains youth players.
sports,Where would I find where to watch sports?,"In Rwanda, pili pili bar screens premier league matches."
language,Can you tell me what's your name?,Witwa nde?. Details: Witwa nde?
language,Where would I find what's your name?,"In Rwanda, witwa nde?"
services,SIM card for tourists in Kigali?,MTN or Airtel - need passport at airport or shops.
services,Where would I find sim card for tourists?,MTN or Airtel - need passport at airport or shops. (2025 info)
services,Where would I find post offices?,"In Rwanda, main one in kigali city tower, others in each district."
services,Where would I find where to recycle?,COPED in Nyarugenge takes plastics and electronics. (2025 info)
services,Can you tell me where to recycle?,"In Rwanda, coped in nyarugenge takes plastics and electronics."
services,Can you tell me laundry services?,Many guesthouses offer or try Washry in Kimihurura.
services,Laundry services?,Many guesthouses offer or try Washry in Kimihurura.
services,Where would I find visa extensions?,At Directorate General of Immigration in Kimihurura. Details: At Directorate General of Immigration in Kimihurura.
services,Visa extensions?,At Directorate General of Immigration in Kimihurura. Details: At Directorate General of Immigration in Kimihurura.
services,Where would I find police stations?,"Each sector has one - main is in Remera, Kigali. Details: Each sector has one - main is in Remera, Kigali."
services,Police stations?,"In Rwanda, each sector has one - main is in remera, kigali."
services,Where would I find where to print documents?,Copy shops near universities and business districts. (2025 info)
services,Can you tell me where to print documents?,Copy shops near universities and business districts. Details: Copy shops near universities and business districts.
services,Can you tell me international shipping?,DHL has office in Kigali City Tower. Details: DHL has office in Kigali City Tower.
services,Where would I find lost property?,"In Rwanda, check with local authorities or establishment last visited."
services,Can you tell me lost property?,Check with local authorities or establishment last visited. (2025 info)
services,Tourist police in Rwanda?,"In Rwanda, call 112 or visit nearest tourism office."
services,Where would I find where to pay bills?,"In Rwanda, at banks, online via irembo, or mobile money."
services,Can you tell me where to pay bills?,"At banks, online via Irembo, or mobile money."
services,Can you tell me public toilets?,In shopping malls and petrol stations - carry tissues. (2025 info)
services,Public toilets in Kigali?,"In Rwanda, in shopping malls and petrol stations - carry tissues."
hyperlocal,Best chapati in Nyamirambo in Rwanda?,"In Rwanda, café de nyamirambo makes fluffy chapatis for 500 rwf."
hyperlocal,Best chapati in Nyamirambo?,"In Rwanda, café de nyamirambo makes fluffy chapatis for 500 rwf."
hyperlocal,Where to buy authentic Agaseke baskets?,Cooperative des Tresses in Gisozi village. Details: Cooperative des Tresses in Gisozi village.
hyperlocal,Where would I find cheapest brochettes in kigali?,Brochetterie du Quartier in Kimironko (800 RWF). Details: Brochetterie du Quartier in Kimironko (800 RWF).
hyperlocal,Cheapest brochettes in Kigali in Kigali?,Brochetterie du Quartier in Kimironko (800 RWF).
hyperlocal,Where would I find best place for rwandan coffee?,Question Coffee Café in Kacyiru.
hyperlocal,Where locals buy fabric?,Sopetrade in Nyabugogo Market has best kitenge selection. (2025 info)
hyperlocal,Can you tell me where locals buy fabric?,Sopetrade in Nyabugogo Market has best kitenge selection.
hyperlocal,Hidden gem restaurant?,Taj Mahal in Remera for Indian-Rwandan fusion. Details: Taj Mahal in Remera for Indian-Rwandan fusion.
hyperlocal,Where would I find best view of kigali?,"In Rwanda, top floor of kigali city tower observation deck."
hyperlocal,Where to hear live Rwandan music?,Repub Lounge in Kimihurura on weekends.
hyperlocal,Where to hear live Rwandan music in Rwanda?,"In Rwanda, repub lounge in kimihurura on weekends."
hyperlocal,Best place to watch sunsets?,Rooftop of The Hut in Kiyovu. (2025 info)
hyperlocal,Best place to watch sunsets in Rwanda?,Rooftop of The Hut in Kiyovu.
hyperlocal,Local hair braiding salon?,Beauté Noire in Nyamirambo for traditional styles. Details: Beauté Noire in Nyamirambo for traditional styles.
hyperlocal,Where would I find local hair braiding salon?,"In Rwanda, beauté noire in nyamirambo for traditional styles."
hyperlocal,Where to buy fresh passion fruit in Rwanda?,"In Rwanda, early morning at kimironko market stalls."
hyperlocal,Can you tell me where to buy fresh passion fruit?,Early morning at Kimironko Market stalls. Details: Early morning at Kimironko Market stalls.
hyperlocal,Best milk bar in Rwanda?,"In Rwanda, inyange shop near remera taxi park."
hyperlocal,Best milk bar?,Inyange Shop near Remera Taxi Park. Details: Inyange Shop near Remera Taxi Park.
new_developments,What is Kigali Innovation City in Rwanda?,"Tech hub under construction in Gasaro, will host Carnegie Mellon Africa. (2025 info)"
new_developments,What is Kigali Innovation City in Kigali?,"Tech hub under construction in Gasaro, will host Carnegie Mellon Africa."
new_developments,Newest museum in Rwanda in Rwanda?,"In Rwanda, rwanda art museum relocated to former presidential palace in 2024."
new_developments,Can you tell me newest museum in rwanda?,Rwanda Art Museum relocated to former presidential palace in 2024. Details: Rwanda Art Museum relocated to former presidential palace in 2024.
new_developments,Where would I find recent transport upgrades?,"In Rwanda, new electric buses launched on kigali-gasabo route in 2025."
new_developments,Where would I find latest tech campus?,Norrsken Kigali House expansion completed 2024. Details: Norrsken Kigali House expansion completed 2024.
new_developments,Latest tech campus?,Norrsken Kigali House expansion completed 2024. Details: Norrsken Kigali House expansion completed 2024.
new_developments,Can you tell me new national park?,"In Rwanda, gishwati-mukura designated as 4th national park in 2020."
new_developments,New national park?,Gishwati-Mukura designated as 4th national park in 2020. (2025 info)
new_developments,Recent sports facility?,"In Rwanda, nyamirambo stadium renovated in 2024 for wnba africa games."
new_developments,Where would I find new border crossing?,"In Rwanda, rusumo one-stop border post with tanzania opened 2023."
new_developments,Where would I find latest hotel opening?,"In Rwanda, radisson blu kigali convention center opened 2025."
new_developments,Can you tell me latest hotel opening?,"In Rwanda, radisson blu kigali convention center opened 2025."
new_developments,New university programs?,UR launched AI degree program in 2024. (2025 info)
new_developments,Where would I find new university programs?,UR launched AI degree program in 2024. Details: UR launched AI degree program in 2024.
new_developments,Where would I find recent infrastructure project?,Kigali Central Station modernized in 2025.
new_developments,Recent infrastructure project?,"In Rwanda, kigali central station modernized in 2025."
new_developments,Can you tell me new tourism initiative?,'Visit Rwanda' now includes community-based tourism trails.
new_developments,New tourism initiative?,'Visit Rwanda' now includes community-based tourism trails. Details: 'Visit Rwanda' now includes community-based tourism trails.
