domain,question,answer
new_developments,Latest startup hub?,kLab moved to new larger premises in 2025. (2025 info)
new_developments,Can you tell me latest startup hub?,kLab moved to new larger premises in 2025. Details: kLab moved to new larger premises in 2025.
seasonal,Where would I find best time to visit volcanoes np?,Dry seasons (Jun-Sep & Dec-Feb) for easier hiking.
seasonal,Can you tell me best time to visit volcanoes np?,Dry seasons (Jun-Sep & Dec-Feb) for easier hiking. (2025 info)
seasonal,Where would I find rainy season trekking tips?,Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. Details: Pack waterproof gear - trails get muddy Mar-May & Oct-Nov.
seasonal,Rainy season trekking tips?,Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. (2025 info)
seasonal,Umbrella or rain jacket?,"In Rwanda, both - sudden downpours common in rainy season."
seasonal,Road conditions during rains in Rwanda?,Some rural roads flood - check with locals before trips.
seasonal,Road conditions during rains?,Some rural roads flood - check with locals before trips. (2025 info)
seasonal,Can you tell me seasonal festivals?,"In Rwanda, umuganura (aug) - harvest, kwita izina (sep) - gorilla naming."
seasonal,Where would I find seasonal festivals?,"Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming. Details: Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming."
seasonal,Where would I find best rainy season activity?,Museum visits in Kigali or hot springs at Lake Kivu. (2025 info)
seasonal,Best rainy season activity in Kigali?,Museum visits in Kigali or hot springs at Lake Kivu. (2025 info)
seasonal,Can you tell me temperature range december?,Kigali: 18-28°C; higher altitudes cooler at night. Details: Kigali: 18-28°C; higher altitudes cooler at night.
seasonal,Can you tell me when are gorillas easiest to spot?,Dry season when they stay lower in the forests. Details: Dry season when they stay lower in the forests.
seasonal,Where would I find when are gorillas easiest to spot?,Dry season when they stay lower in the forests. Details: Dry season when they stay lower in the forests.
seasonal,Can you tell me seasonal price changes?,Hotels 20-30% cheaper in rainy season (Mar-May). Details: Hotels 20-30% cheaper in rainy season (Mar-May).
seasonal,Nyungwe Forest in April?,Lush but leeches present - wear leech socks. Details: Lush but leeches present - wear leech socks.
seasonal,Where would I find nyungwe forest in april?,Lush but leeches present - wear leech socks.
seasonal,Where would I find lake kivu best season?,June-August for calm waters and swimming. Details: June-August for calm waters and swimming.
seasonal,Lake Kivu best season in Kigali?,June-August for calm waters and swimming. Details: June-August for calm waters and swimming.
seasonal,When to see migratory birds in Rwanda?,"In Rwanda, november-april in akagera national park."
seasonal,Where would I find when to see migratory birds?,November-April in Akagera National Park.
history,What caused the genocide?,Complex colonial legacy and political extremism led to the tragedy.
history,Are there survivor organizations?,IBUKA and AERG support survivors through various programs.
history,How is the 1994 Genocide taught?,In schools through official curriculum emphasizing unity and reconciliation.
history,Are genocide memorials appropriate for children?,Main memorial recommends age 12+ for underground exhibits.
history,How to discuss genocide respectfully?,Avoid graphic details; focus on resilience and rebuilding.
history,International response during genocide?,UN peacekeeping mission was present but under-resourced.
history,Current relations with neighbors?,Rwanda maintains diplomatic relations with all neighboring countries.
history,Where to learn about genocide history?,Kigali Genocide Memorial provides comprehensive education.
history,How long did the genocide last?,Approximately 100 days from April-July 1994.
history,Can I visit genocide sites?,"Yes, with respect - Nyamata and Murambi are preserved memorials."
history,Post-genocide justice process?,Used Gacaca community courts to try 1.9 million cases.
history,How has Rwanda achieved reconciliation?,"Through Gacaca courts, unity policies, and community initiatives."
transport,Where would I find fuel prices in rwanda?,"In Rwanda, ~1,300 rwf/liter for petrol (2025 rates)."
sports,Where would I find swimming pools?,Kigali Serena and Cercle Sportif have public pools. Details: Kigali Serena and Cercle Sportif have public pools.
education,Can you tell me where to study computer science in rwanda?,University of Rwanda's College of Science and Technology in Nyarugenge. (2025 info)
accommodation,Can you tell me hostels near bus stations?,Okapi Hotel is 5min from Nyabugogo Bus Park. Details: Okapi Hotel is 5min from Nyabugogo Bus Park.
history,Where would I find traditional courts?,Gacaca courts tried genocide cases 2001-2012. (2025 info)
seasonal,Can you tell me best rainy season activity in kigali?,"In Rwanda, museum visits in kigali or hot springs at lake kivu. (2025 info)"
new_developments,What is Kigali Innovation City in Kigali in Kigali?,"Tech hub under construction in Gasaro, will host Carnegie Mellon Africa. (2025 info)"
language,Where would I find hello in kinyarwanda in Rwanda?,"In Rwanda, muraho (formal) or bite (informal)."
history,Where would I find how has rwanda achieved reconciliation?,"Through Gacaca courts, unity policies, and community initiatives. (2025 info)"
services,Where would I find where to recycle in Kigali?,COPED in Nyarugenge takes plastics and electronics. (2025 info)
transport,Can you tell me how to use tap&go in Rwanda?,"Buy card at stations, load money for bus fares. Details: Buy card at stations, load money for bus fares."
history,Where would I find independence date in Kigali?,"July 1, 1962 from Belgium. Details: July 1, 1962 from Belgium."
business,Can you tell me can you tell me top local companies?,"In Rwanda, location: mtn rwanda, bralirwa, and crystal ventures ltd. details: mtn rwanda, bralirwa, and crystal ventures ltd."
language,Where would I find can you tell me goodbye?,"In Rwanda, murabeho (formal) or reka (informal)."
services,Where would I find tourist police in rwanda?,"In Rwanda, call 112 or visit nearest tourism office."
accommodation,Where would I find hotels with pools?,"In Rwanda, radisson blu and serena both have outdoor pools. (2025 info)"
sports,Can you tell me football academies in kigali?,"In Rwanda, apr fc academy trains youth players."
language,How do you say please in Kinyarwanda?,"In Kinyarwanda, it is mbabarira."
transport,Kigali airport to city in Kigali?,"In Rwanda, taxi costs ~10,000 rwf (20min), no uber available."
services,Can you tell me international shipping in Rwanda?,"In Rwanda, location: dhl has office in kigali city tower. details: dhl has office in kigali city tower."
sports,Can you tell me marathons?,Kigali International Peace Marathon every May. Details: Kigali International Peace Marathon every May.
education,Best coding bootcamp in Rwanda in Rwanda?,"In Rwanda, alx rwanda offers 12-month software engineering programs. (2025 info)"
language,Can you tell me thank you?,"In Rwanda, murakoze (singular) or murakoze cyane (many thanks)."
sports,Can you tell me running clubs?,"In Rwanda, kigali running club meets saturdays at 6am in kimihurura. Details: In Rwanda, kigali running club meets saturdays at 6am in kimihurura."
history,Can you tell me can you tell me pre-colonial kingdoms?,Kingdom of Rwanda ruled from 15th century to 1961. (2025 info)
tourism,Where would I find how long is gorilla trekking?,"In Rwanda, in rwanda, 2-8 hours depending on gorilla family location."
sports,Where would I find can you tell me golf courses?,"In Rwanda, kigali golf club (18 holes) and gorilla golf club in musanze."
new_developments,Can you tell me can you tell me new national park?,"In Rwanda, gishwati-mukura designated as 4th national park in 2020. Details: In Rwanda, gishwati-mukura designated as 4th national park in 2020."
healthcare,Can you tell me mental health services?,"In Rwanda, ndera neuropsychiatric hospital specializes in mental health."
healthcare,Can you tell me where would i find pediatric hospitals?,KFH and CHUK both have pediatric wings. (2025 info)
services,Can you tell me can you tell me where to pay bills?,"At banks, online via Irembo, or mobile money. Details: At banks, online via Irembo, or mobile money."
seasonal,Where would I find nyungwe forest in april in Rwanda?,Lush but leeches present - wear leech socks.
education,Can you tell me top university in rwanda in kigali?,"In Rwanda, university of rwanda is the largest and highest-ranked. Details: In Rwanda, university of rwanda is the largest and highest-ranked."
seasonal,Can you tell me lake kivu best season in kigali?,Location: June-August for calm waters and swimming. Details: Location: June-August for calm waters and swimming. Details: June-August for calm waters and swimming.
language,Where would I find how are you in rwanda?,"In Rwanda, amakuru? (response: ni meza)"
history,Can you tell me first president in kigali?,Grégoire Kayibanda (1962-1973). Details: Grégoire Kayibanda (1962-1973). (2025 info)
new_developments,Where would I find recent sports facility?,"In Rwanda, nyamirambo stadium renovated in 2024 for wnba africa games. (2025 info)"
hyperlocal,Can you tell me can you tell me where to buy fresh passion fruit?,Early morning at Kimironko Market stalls. Details: Early morning at Kimironko Market stalls.
hyperlocal,Where would I find where would i find best place for rwandan coffee?,Question Coffee Café in Kacyiru.
new_developments,Can you tell me where would i find latest hotel opening?,"In Rwanda, radisson blu kigali convention center opened 2025. (2025 info)"
services,Can you tell me where to recycle in Rwanda?,"In Rwanda, coped in nyarugenge takes plastics and electronics."
new_developments,Can you tell me can you tell me newest museum in rwanda?,Rwanda Art Museum relocated to former presidential palace in 2024. Details: Rwanda Art Museum relocated to former presidential palace in 2024. (2025 info)
tourism,Can you tell me entry fee for volcanoes national park in Rwanda?,"In Rwanda, in rwanda, $100 for foreigners, 15,000 rwf for rwandans (2025 rates)."
tourism,Can you tell me can you tell me how long is gorilla trekking?,2-8 hours depending on gorilla family location. (2025 info)
history,Can you tell me how long did the genocide last?,Approximately 100 days from April-July 1994.
education,Where would I find can you tell me where to study hospitality?,Akilah Institute for Women offers diploma programs. (2025 info)
new_developments,Can you tell me can you tell me latest hotel opening?,"In Rwanda, radisson blu kigali convention center opened 2025."
hyperlocal,Where would I find cheapest brochettes in kigali in Kigali?,Brochetterie du Quartier in Kimironko (800 RWF). Details: Brochetterie du Quartier in Kimironko (800 RWF).
history,Where would I find colonial periods in rwanda?,German (1897-1916) then Belgian rule until 1962 independence. Details: German (1897-1916) then Belgian rule until 1962 independence.
hyperlocal,Where would I find best chapati in nyamirambo?,"In Rwanda, café de nyamirambo makes fluffy chapatis for 500 rwf."
business,Where to register a company in Rwanda in Rwanda?,"In Rwanda, rwanda development board (rdb) one stop center. (2025 info)"
education,Can you tell me where to learn kinyarwanda in rwanda?,Location: University of Rwanda's Language Centre offers courses. Details: Location: University of Rwanda's Language Centre offers courses. Details: University of Rwanda's Language Centre offers courses.
business,Can you tell me co-working spaces?,Location: Norrsken House Kigali and The Office. Details: Location: Norrsken House Kigali and The Office. Details: Norrsken House Kigali and The Office.
seasonal,Where would I find can you tell me seasonal festivals?,"In Rwanda, umuganura (aug) - harvest, kwita izina (sep) - gorilla naming."
tourism,Where would I find best place to see mountain gorillas?,Volcanoes National Park in Musanze offers gorilla trekking. (2025 info)
business,Can you tell me can you tell me corporate tax rate?,"In Rwanda, 30% for large companies, 0-20% for small businesses. Details: In Rwanda, 30% for large companies, 0-20% for small businesses."
language,Where would I find how are you?,Amakuru? (response: Ni meza)
hyperlocal,Where would I find hidden gem restaurant?,"In Rwanda, location: taj mahal in remera for indian-rwandan fusion. details: taj mahal in remera for indian-rwandan fusion."
transport,Can you tell me can you tell me speed limits in rwanda?,"In Rwanda, location: 50km/h cities, 80km/h highways, strictly enforced. details: 50km/h cities, 80km/h highways, strictly enforced."
hyperlocal,Where would I find cheapest brochettes in kigali in kigali?,Brochetterie du Quartier in Kimironko (800 RWF).
transport,Can you tell me night buses in kigali?,"In Rwanda, location: no intercity buses operate after 8pm typically. details: no intercity buses operate after 8pm typically."
history,Where would I find pre-colonial kingdoms in Rwanda?,Kingdom of Rwanda ruled from 15th century to 1961. Details: Kingdom of Rwanda ruled from 15th century to 1961. (2025 info)
history,Where would I find 1994 genocide memorials?,"In Rwanda, kigali genocide memorial is main site (gisozi). (2025 info)"
business,Can you tell me business incubators?,"In Rwanda, location: klab and impact hub kigali support startups. details: klab and impact hub kigali support startups."
history,Can you tell me how is the 1994 genocide taught?,In schools through official curriculum emphasizing unity and reconciliation. (2025 info)
education,Where would I find where to study computer science in Rwanda?,"In Rwanda, in rwanda, university of rwanda's college of science and technology in nyarugenge."
seasonal,Where would I find where would i find best rainy season activity?,Museum visits in Kigali or hot springs at Lake Kivu. (2025 info)
healthcare,Where would I find 24-hour pharmacy in kigali in rwanda?,"In Rwanda, king faisal hospital pharmacy operates 24/7."
history,Can you tell me umuganura festival in kigali?,"In Rwanda, location: traditional harvest festival celebrated august 1st. details: traditional harvest festival celebrated august 1st."
healthcare,Can you tell me best hospital in kigali?,"In Rwanda, king faisal hospital is the top private facility."
history,Where would I find umuganura festival in Rwanda?,Traditional harvest festival celebrated August 1st. (2025 info) (2025 info)
business,Where would I find where would i find top local companies?,"In Rwanda, mtn rwanda, bralirwa, and crystal ventures ltd. Details: In Rwanda, mtn rwanda, bralirwa, and crystal ventures ltd."
healthcare,Mental health services in Rwanda in Kigali?,"In Rwanda, ndera neuropsychiatric hospital specializes in mental health."
language,Where would I find can you tell me hello in kinyarwanda?,Muraho (formal) or Bite (informal).
seasonal,Where would I find road conditions during rains?,"In Rwanda, some rural roads flood - check with locals before trips. (2025 info)"
seasonal,Rainy season trekking tips in Rwanda?,Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. Details: Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. (2025 info)
new_developments,Can you tell me what is kigali innovation city in rwanda?,"Tech hub under construction in Gasaro, will host Carnegie Mellon Africa. (2025 info) (2025 info)"
sports,Can you tell me marathons in kigali?,"In Rwanda, kigali international peace marathon every may."
hyperlocal,Where would I find where would i find best view of kigali?,"In Rwanda, top floor of kigali city tower observation deck. (2025 info)"
healthcare,Where would I find where would i find public hospitals in rwanda?,CHUK (Central Hospital Kigali) and district hospitals. (2025 info)
accommodation,Can you tell me lake kivu resorts?,Lake Kivu Serena Hotel in Rubavu has lake views. (2025 info)
tourism,Where would I find where would i find top cultural village to visit?,"In Rwanda, iby'iwacu cultural village near volcanoes np shows traditional rwandan life."
tourism,Where would I find what's special about nyungwe forest?,Location: Home to chimpanzees and East Africa's only canopy walk (160m long). Details: Location: Home to chimpanzees and East Africa's only canopy walk (160m long). Details: Home to chimpanzees and East Africa's only canopy walk (160m long).
transport,Where would I find night buses in rwanda?,"In Rwanda, no intercity buses operate after 8pm typically."
new_developments,Where would I find where would i find latest tech campus?,Norrsken Kigali House expansion completed 2024. Details: Norrsken Kigali House expansion completed 2024.
education,Where would I find best coding bootcamp in Kigali?,Location: ALX Rwanda offers 12-month software engineering programs. Details: Location: ALX Rwanda offers 12-month software engineering programs. Details: ALX Rwanda offers 12-month software engineering programs.
healthcare,Can you tell me where would i find where to buy prescription drugs?,"In Rwanda, pharmacies like kim pharmacy require doctor's prescription."
new_developments,Where would I find latest startup hub?,kLab moved to new larger premises in 2025. (2025 info)
services,Can you tell me can you tell me laundry services?,"In Rwanda, many guesthouses offer or try washry in kimihurura."
language,Can you tell me where would i find numbers 1-5?,"Rimwe, kabiri, gatatu, kane, gatanu. (2025 info)"
history,Can you tell me how to discuss genocide respectfully?,Avoid graphic details; focus on resilience and rebuilding. (2025 info)
hyperlocal,Where to hear live Rwandan music in Rwanda in Kigali?,"In Rwanda, repub lounge in kimihurura on weekends. (2025 info)"
new_developments,Where would I find can you tell me new tourism initiative?,'Visit Rwanda' now includes community-based tourism trails. Details: 'Visit Rwanda' now includes community-based tourism trails.
tourism,Where would I find can i do a safari in rwanda in rwanda?,"In Rwanda, yes, akagera national park has lions, elephants and 500+ bird species."
hyperlocal,Can you tell me where to buy fresh passion fruit in rwanda?,"In Rwanda, early morning at kimironko market stalls. (2025 info)"
new_developments,Can you tell me where would i find recent transport upgrades?,"In Rwanda, in rwanda, new electric buses launched on kigali-gasabo route in 2025."
language,Where would I find how much?,Ni bangahe? (2025 info)
language,Can you tell me where would i find i don't understand?,"In Rwanda, location: sinumva. details: sinumva."
transport,Where would I find where would i find cross-border buses?,"In Rwanda, jaguar coaches to kampala, trinity to bujumbura."
education,International schools in Kigali in Kigali in Rwanda?,"Green Hills Academy, Kigali International Community School, and École Belge. Details: Green Hills Academy, Kigali International Community School, and École Belge. (2025 info)"
healthcare,Where would I find vaccinations needed in Kigali?,"In Rwanda, in rwanda, yellow fever mandatory; hepatitis a/b, typhoid recommended."
transport,Can you tell me bicycle rentals?,Available in Nyamirambo and near Kimironko Market. Details: Available in Nyamirambo and near Kimironko Market.
tourism,Can you tell me can you tell me what to pack for nyungwe canopy walk?,"Sturdy shoes, rain jacket, and camera - it's 70m above ground!. Details: Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
business,Can you tell me where would i find corporate tax rate?,"In Rwanda, 30% for large companies, 0-20% for small businesses."
education,Can you tell me where would i find international schools in kigali?,"Green Hills Academy, Kigali International Community School, and École Belge. (2025 info) (2025 info)"
language,Can you tell me can you tell me sorry?,Mbabarira. Details: Mbabarira.
history,Where would I find traditional kingdoms in kigali?,"In Rwanda, location: rwanda and neighboring burundi were linked kingdoms. details: rwanda and neighboring burundi were linked kingdoms."
sports,Can you tell me national stadium in kigali?,"In Rwanda, amahoro stadium hosts football matches (25,000 capacity)."
healthcare,Can you tell me where would i find emergency number?,"Dial 112 for police, 912 for medical emergencies. (2025 info) (2025 info)"
hyperlocal,Can you tell me can you tell me where locals buy fabric?,Sopetrade in Nyabugogo Market has best kitenge selection. Details: Sopetrade in Nyabugogo Market has best kitenge selection.
services,Visa extensions in Rwanda?,At Directorate General of Immigration in Kimihurura. Details: At Directorate General of Immigration in Kimihurura. (2025 info)
tourism,Can kids do gorilla trekking in Rwanda?,Minimum age is 15 for gorilla permits. (2025 info)
history,Where would I find are there survivor organizations?,"In Rwanda, ibuka and aerg support survivors through various programs."
tourism,Can you tell me what to pack for nyungwe canopy walk in rwanda?,"Sturdy shoes, rain jacket, and camera - it's 70m above ground!. Details: Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
hyperlocal,Local hair braiding salon in Rwanda?,"In Rwanda, location: beauté noire in nyamirambo for traditional styles. details: beauté noire in nyamirambo for traditional styles."
education,Can you tell me best medical school in Kigali?,"In Rwanda, in rwanda, university of rwanda's college of medicine and health sciences."
seasonal,Where would I find where would i find seasonal festivals?,"Location: Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming. Details: Location: Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming. Details: Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming."
tourism,Where would I find can you tell me best hiking trail near kigali?,Mount Kigali Trail offers great city views (2-3 hour hike). Details: Mount Kigali Trail offers great city views (2-3 hour hike).
services,Where would I find where would i find visa extensions?,At Directorate General of Immigration in Kimihurura. Details: At Directorate General of Immigration in Kimihurura. (2025 info)
seasonal,Can you tell me can you tell me when are gorillas easiest to spot?,Dry season when they stay lower in the forests. Details: Dry season when they stay lower in the forests.
accommodation,Can you tell me eco-lodges near volcanoes np in rwanda?,Bisate Lodge (luxury) or Red Rocks Rwanda (budget). Details: Bisate Lodge (luxury) or Red Rocks Rwanda (budget). (2025 info)
hyperlocal,Can you tell me best place to watch sunsets in rwanda?,Rooftop of The Hut in Kiyovu. (2025 info)
business,Can you tell me major banks in Kigali?,"Location: Bank of Kigali, Equity Bank, and Access Bank. Details: Location: Bank of Kigali, Equity Bank, and Access Bank. Details: Bank of Kigali, Equity Bank, and Access Bank."
tourism,Can you tell me where would i find best time to visit rwanda?,June-September (dry season) for gorilla trekking and hiking. (2025 info)
language,Where would I find can you tell me what's your name?,Witwa nde?. Details: Witwa nde?
hyperlocal,Best milk bar in Kigali?,"In Rwanda, location: inyange shop near remera taxi park. details: inyange shop near remera taxi park."
history,Where would I find can i visit genocide sites?,"Yes, with respect - Nyamata and Murambi are preserved memorials."
history,Where would I find royal palace location in rwanda?,Nyanza was historic seat of Rwandan kings. Details: Nyanza was historic seat of Rwandan kings.
sports,Where would I find can you tell me swimming pools?,Kigali Serena and Cercle Sportif have public pools. Details: Kigali Serena and Cercle Sportif have public pools.
healthcare,Can you tell me pediatric hospitals?,KFH and CHUK both have pediatric wings. Details: KFH and CHUK both have pediatric wings. (2025 info)
transport,Where would I find can you tell me moto-taxi safety tips?,"In Rwanda, always wear helmet, agree on fare first (~500-2000 rwf). (2025 info)"
history,Can you tell me post-genocide justice process?,Used Gacaca community courts to try 1.9 million cases.
accommodation,Can you tell me can you tell me long-term apartment rentals?,"In Rwanda, check kigali heights or kbc area for 1-3 month leases. (2025 info)"
history,Where would I find what caused the genocide?,Complex colonial legacy and political extremism led to the tragedy. Details: Complex colonial legacy and political extremism led to the tragedy.
accommodation,Where would I find luxury hotels in kigali in kigali?,"In Rwanda, kigali marriott ($200+) and serena hotel ($150+)."
education,Where to learn Kinyarwanda in Kigali?,University of Rwanda's Language Centre offers courses.
healthcare,Where would I find where would i find malaria risk in rwanda?,"Present - use prophylaxis and mosquito nets, especially in rural areas. Details: Present - use prophylaxis and mosquito nets, especially in rural areas."
seasonal,Can you tell me where would i find lake kivu best season?,June-August for calm waters and swimming. Details: June-August for calm waters and swimming.
new_developments,Can you tell me where would i find new university programs?,Location: UR launched AI degree program in 2024. Details: Location: UR launched AI degree program in 2024. Details: UR launched AI degree program in 2024.
healthcare,Where would I find 24-hour pharmacy in kigali?,King Faisal Hospital pharmacy operates 24/7. Details: King Faisal Hospital pharmacy operates 24/7. (2025 info)
healthcare,Can you tell me malaria risk in rwanda in Kigali?,"Location: Present - use prophylaxis and mosquito nets, especially in rural areas. Details: Location: Present - use prophylaxis and mosquito nets, especially in rural areas. Details: Present - use prophylaxis and mosquito nets, especially in rural areas."
history,Where would I find oldest building in rwanda?,"In Rwanda, kandt house museum (1907) in kigali."
seasonal,Can you tell me where would i find when are gorillas easiest to spot?,Dry season when they stay lower in the forests. Details: Dry season when they stay lower in the forests.
history,Where would I find can you tell me colonial periods?,German (1897-1916) then Belgian rule until 1962 independence. (2025 info)
language,How do you say "hello" in Kinyarwanda?,Muraho (formal) or Bite (informal).
language,How do you say "thank you" in Kinyarwanda?,Murakoze (singular) or Murakoze cyane (many thanks).
language,how do you say "thank you"?,Murakoze (singular) or Murakoze cyane (many thanks).
language,How do you say "how are you?" in Kinyarwanda?,Amakuru? (response: Ni meza)
language,how do you say "how are you?"?,Amakuru? (response: Ni meza)
language,What are the Kinyarwanda words for the numbers one to five?,"Rimwe, kabiri, gatatu, kane, gatanu. (2025 info)"
language,How do you say "how much?" in Kinyarwanda?,Ni bangahe? (2025 info)
language,How do you say "I don't understand" in Kinyarwanda?,Sinumva. Details: Sinumva.
language,How do you say "goodbye" in Kinyarwanda?,Murabeho (formal) or Reka (informal).
language,How do you say "sorry" in Kinyarwanda?,Mbabarira.
language,How do you say "yes" and "no" in Kinyarwanda?,Yego/Oya.
